[NAV_PATH] 0.1325,0.1275 0.1325,0.1225
[NAV_END]
[PUSH_PATH] 0 0.1325,0.1225 0.135272,0.242468 0.146821,0.742335
[PUSH_CTRL] 197 3.35956 3.57133 TRACK
[PUSH_CTRL] 198 3.36239 3.57133 TRACK
[PUSH_CTRL] 199 3.35981 3.57133 TRACK
[PUSH_CTRL] 200 3.3581 3.57133 TRACK
[PUSH_CTRL] 201 3.35667 3.57133 TRACK
[PUSH_CTRL] 202 3.35534 3.57133 TRACK
[PUSH_CTRL] 203 3.35407 3.57133 TRACK
[PUSH_CTRL] 204 3.35282 3.57133 TRACK
[PUSH_CTRL] 205 3.35177 3.57133 TRACK
[PUSH_CTRL] 206 3.35083 3.57133 TRACK
[PUSH_CTRL] 207 3.3494 3.57133 TRACK
[PUSH_CTRL] 208 3.35393 3.57133 TRACK
[PUSH_CTRL] 209 3.35211 3.57133 TRACK
[PUSH_CTRL] 210 3.35003 3.57133 TRACK
[PUSH_CTRL] 211 3.34568 3.57133 TRACK
[PUSH_CTRL] 212 3.34158 3.57133 TRACK
[PUSH_CTRL] 213 3.33798 3.57133 TRACK
[PUSH_CTRL] 214 3.33448 3.57133 TRACK
[PUSH_CTRL] 215 3.33105 3.57133 TRACK
[PUSH_CTRL] 216 3.32768 3.57133 TRACK
[PUSH_CTRL] 217 3.33151 3.57133 TRACK
[PUSH_CTRL] 218 3.32809 3.57133 TRACK
[PUSH_CTRL] 219 3.32459 3.57133 TRACK
[PUSH_CTRL] 220 3.32132 3.57133 TRACK
[PUSH_CTRL] 221 3.3179 3.57133 TRACK
[PUSH_CTRL] 222 3.31477 3.57133 TRACK
[PUSH_CTRL] 223 3.31208 3.57133 TRACK
[PUSH_CTRL] 224 3.30979 3.57133 TRACK
[PUSH_CTRL] 225 3.30786 3.57133 TRACK
[PUSH_CTRL] 226 3.30694 3.57133 TRACK
[PUSH_CTRL] 227 3.31574 3.57133 TRACK
[PUSH_CTRL] 228 3.31867 3.57133 TRACK
[PUSH_CTRL] 229 3.32066 3.57133 TRACK
[PUSH_CTRL] 230 3.3209 3.57133 TRACK
[PUSH_CTRL] 231 3.32004 3.57133 TRACK
[PUSH_CTRL] 232 3.31859 3.57133 TRACK
[PUSH_CTRL] 233 3.3165 3.57133 TRACK
[PUSH_CTRL] 234 3.315 3.57133 TRACK
[PUSH_CTRL] 235 3.3141 3.57133 TRACK
[PUSH_CTRL] 236 3.31069 3.57133 TRACK
[PUSH_CTRL] 237 3.30673 3.57133 TRACK
[PUSH_CTRL] 238 3.31013 3.57133 TRACK
[PUSH_CTRL] 239 3.30681 3.57133 TRACK
[PUSH_CTRL] 240 3.30393 3.57133 TRACK
[PUSH_CTRL] 241 3.30145 3.57133 TRACK
[PUSH_CTRL] 242 3.29878 3.57133 TRACK
[PUSH_CTRL] 243 3.29673 3.57133 TRACK
[PUSH_CTRL] 244 3.29531 3.57133 TRACK
[PUSH_CTRL] 245 3.29203 3.57133 TRACK
[PUSH_CTRL] 246 3.28779 3.57133 TRACK
[PUSH_CTRL] 247 3.29188 3.57133 TRACK
[PUSH_CTRL] 248 3.28836 3.57133 TRACK
[PUSH_CTRL] 249 3.28538 3.57133 TRACK
[PUSH_CTRL] 250 3.28277 3.57133 TRACK
[PUSH_CTRL] 251 3.27956 3.57133 TRACK
[PUSH_CTRL] 252 3.27708 3.57133 TRACK
[PUSH_CTRL] 253 3.27752 3.57133 TRACK
[PUSH_CTRL] 254 3.27718 3.57133 TRACK
[PUSH_CTRL] 255 3.27538 3.57133 TRACK
[PUSH_CTRL] 256 3.27246 3.57133 TRACK
[PUSH_CTRL] 257 3.27765 3.57133 TRACK
[PUSH_CTRL] 258 3.27341 3.57133 TRACK
[PUSH_CTRL] 259 3.26899 3.57133 TRACK
[PUSH_CTRL] 260 3.26431 3.57133 TRACK
[PUSH_CTRL] 261 3.25918 3.57133 TRACK
[PUSH_CTRL] 262 3.25404 3.57133 TRACK
[PUSH_CTRL] 263 3.24902 3.57133 TRACK
[PUSH_CTRL] 264 3.2448 3.57133 TRACK
[PUSH_CTRL] 265 3.24132 3.57133 TRACK
[PUSH_CTRL] 266 3.23892 3.57133 TRACK
[PUSH_CTRL] 267 3.2446 3.57133 TRACK
[PUSH_CTRL] 268 3.23977 3.57133 TRACK
[PUSH_CTRL] 269 3.23492 3.57133 TRACK
[PUSH_CTRL] 270 3.23073 3.57133 TRACK
[PUSH_CTRL] 271 3.22729 3.57133 TRACK
[PUSH_CTRL] 272 3.22433 3.57133 TRACK
[PUSH_CTRL] 273 3.22102 3.57133 TRACK
[PUSH_CTRL] 274 3.21806 3.57133 TRACK
[PUSH_CTRL] 275 3.21613 3.57133 TRACK
[PUSH_CTRL] 276 3.22533 3.57133 TRACK
[PUSH_CTRL] 277 3.22395 3.57133 TRACK
[PUSH_CTRL] 278 3.22147 3.57133 TRACK
[PUSH_CTRL] 279 3.21838 3.57133 TRACK
[PUSH_CTRL] 280 3.21472 3.57133 TRACK
[PUSH_CTRL] 281 3.21016 3.57133 TRACK
[PUSH_CTRL] 282 3.20292 3.57133 TRACK
[PUSH_CTRL] 283 3.19525 3.57133 TRACK
[PUSH_CTRL] 284 3.18764 3.57133 TRACK
[PUSH_CTRL] 285 3.1918 3.57133 TRACK
[PUSH_CTRL] 286 3.18458 3.57133 TRACK
[PUSH_CTRL] 287 3.17751 3.57133 TRACK
[PUSH_CTRL] 288 3.1713 3.57133 TRACK
[PUSH_CTRL] 289 3.16386 3.57133 TRACK
[PUSH_CTRL] 290 3.15662 3.57133 TRACK
[PUSH_CTRL] 291 3.1501 3.57133 TRACK
[PUSH_CTRL] 292 3.14371 3.57133 TRACK
[PUSH_CTRL] 293 3.13815 3.57133 TRACK
[PUSH_CTRL] 294 3.13306 3.57133 TRACK
[PUSH_CTRL] 295 3.14109 3.57133 TRACK
[PUSH_CTRL] 296 3.13573 3.57133 TRACK
[PUSH_CTRL] 297 3.13068 3.57133 TRACK
[PUSH_CTRL] 298 3.12619 3.57133 TRACK
[PUSH_CTRL] 299 3.12228 3.57133 TRACK
[PUSH_CTRL] 300 3.11885 3.57133 TRACK
[PUSH_CTRL] 301 3.11601 3.57133 TRACK
[PUSH_CTRL] 302 3.11419 3.57133 TRACK
[PUSH_CTRL] 303 3.11308 3.57133 TRACK
[PUSH_CTRL] 304 3.12577 3.57133 TRACK
[PUSH_CTRL] 305 3.12297 3.57133 TRACK
[PUSH_CTRL] 306 3.11894 3.57133 TRACK
[PUSH_CTRL] 307 3.11392 3.57133 TRACK
[PUSH_CTRL] 308 3.10805 3.57133 TRACK
[PUSH_CTRL] 309 3.10147 3.57133 TRACK
[PUSH_CTRL] 310 3.09495 3.57133 TRACK
[PUSH_CTRL] 311 3.08837 3.57133 TRACK
[PUSH_CTRL] 312 3.08186 3.57133 TRACK
[PUSH_CTRL] 313 3.07659 3.57133 TRACK
[PUSH_CTRL] 314 3.07207 3.57133 TRACK
[PUSH_CTRL] 315 3.08351 3.57133 TRACK
[PUSH_CTRL] 316 3.07916 3.57133 TRACK
[PUSH_CTRL] 317 3.07449 3.57133 TRACK
[PUSH_CTRL] 318 3.06962 3.57133 TRACK
[PUSH_CTRL] 319 3.06576 3.57133 TRACK
[PUSH_CTRL] 320 3.06345 3.57133 TRACK
[PUSH_CTRL] 321 3.06036 3.57133 TRACK
[PUSH_CTRL] 322 3.05667 3.57133 TRACK
[PUSH_CTRL] 323 3.06837 3.57133 TRACK
[PUSH_CTRL] 324 3.06292 3.57133 TRACK
[PUSH_CTRL] 325 3.0569 3.57133 TRACK
[PUSH_CTRL] 326 3.05066 3.57133 TRACK
[PUSH_CTRL] 327 3.04437 3.57133 TRACK
[PUSH_CTRL] 328 3.03814 3.57133 TRACK
[PUSH_CTRL] 329 3.03204 3.57133 TRACK
[PUSH_CTRL] 330 3.02597 3.57133 TRACK
[PUSH_CTRL] 331 3.01991 3.57133 TRACK
[PUSH_CTRL] 332 3.01351 3.57133 TRACK
[PUSH_CTRL] 333 3.00703 3.57133 TRACK
[PUSH_CTRL] 334 3.01893 3.57133 TRACK
[PUSH_CTRL] 335 3.01313 3.57133 TRACK
[PUSH_CTRL] 336 3.00817 3.57133 TRACK
[PUSH_CTRL] 337 3.00368 3.57133 TRACK
[PUSH_CTRL] 338 2.99939 3.57133 TRACK
[PUSH_CTRL] 339 2.99614 3.57133 TRACK
[PUSH_CTRL] 340 2.99299 3.57133 TRACK
[PUSH_CTRL] 341 2.98937 3.57133 TRACK
[PUSH_CTRL] 342 2.9859 3.57133 TRACK
[PUSH_CTRL] 343 3.00015 3.57133 TRACK
[PUSH_CTRL] 344 2.99458 3.57133 TRACK
[PUSH_CTRL] 345 2.98851 3.57133 TRACK
[PUSH_CTRL] 346 2.9823 3.57133 TRACK
[PUSH_CTRL] 347 2.97614 3.57133 TRACK
[PUSH_CTRL] 348 2.97014 3.57133 TRACK
[PUSH_CTRL] 349 2.96468 3.57133 TRACK
[PUSH_CTRL] 350 2.95911 3.57133 TRACK
[PUSH_CTRL] 351 2.95295 3.57133 TRACK
[PUSH_CTRL] 352 2.94658 3.57133 TRACK
[PUSH_CTRL] 353 2.96118 3.57133 TRACK
[PUSH_CTRL] 354 2.95581 3.57133 TRACK
[PUSH_CTRL] 355 2.95084 3.57133 TRACK
[PUSH_CTRL] 356 2.94627 3.57133 TRACK
[PUSH_CTRL] 357 2.94204 3.57133 TRACK
[PUSH_CTRL] 358 2.93727 3.57133 TRACK
[PUSH_CTRL] 359 2.93106 3.57133 TRACK
[PUSH_CTRL] 360 2.9244 3.57133 TRACK
[PUSH_CTRL] 361 2.91738 3.57133 TRACK
