axis,build_id,edge,depth,offset_cm,offset_frac,face,xml
1push,hard_001,14,1,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,14,2,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,14,3,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,14,4,0.0,0.0,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,16,0,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,16,1,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,16,2,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,16,3,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,16,4,0.5,0.1429,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,18,0,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,18,1,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,18,2,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,18,3,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,18,4,1.0,0.2857,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,20,0,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,20,1,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,20,2,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,20,3,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,20,4,1.5,0.4286,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,22,0,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,22,1,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,22,2,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,22,3,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,22,4,2.0,0.5714,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,24,0,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,24,1,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,24,2,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,24,3,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,24,4,2.5,0.7143,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
1push,hard_001,26,0,3.0,0.8571,long,/common/users/dm1487/scratch_namo/real_buildable/pool1/hard/rb_00492/env.xml
